,cols,mod_hp,max_accu,max_auc_sc,max_bal_acc,max_brier_lss,max_f_acc,max_log_lss,mdn_accu,mdn_auc_sc,mdn_bal_acc,mdn_brier_lss,mdn_f_acc,mdn_log_lss,mean_accu,mean_auc_sc,mean_bal_acc,mean_brier_lss,mean_f_acc,mean_log_lss,min_accu,min_auc_sc,min_bal_acc,min_brier_lss,min_f_acc,min_log_lss,std_accu,std_auc_sc,std_bal_acc,std_brier_lss,std_f_acc,std_log_lss,win_perc,mean_rank,min_rank,max_rank
8033,"['diff', 'time', 'game_time', 'weekday', 'elo', 'game_num']",knn39.0,0.7942666666666667,0.8353666666666667,0.7924666666666665,0.24319999999999997,0.7839666666666667,0.6842666666666667,0.6520666666666667,0.7375333333333334,0.6539666666666667,0.2124666666666667,0.6316666666666667,0.6123,0.6641346666666667,0.7404533333333333,0.6638826666666667,0.21123466666666668,0.62966,0.6117413333333334,0.5432,0.6320666666666667,0.5751000000000001,0.17513333333333334,0.44943333333333335,0.5292,0.059502138632563394,0.051596117629365314,0.056503452727882285,0.017444788746394362,0.08623518035580839,0.03839687824859702,0.434,6822.213053390955,4233.155877999138,7101.349617987118
7238,"['diff', 'color', 'time', 'game_time', 'weekday', 'elo', 'game_num']",knn39.0,0.789,0.8359666666666666,0.7874333333333333,0.24226666666666666,0.7784000000000001,0.6842666666666668,0.6608333333333333,0.742,0.6565333333333333,0.21220000000000003,0.6332333333333334,0.6126999999999999,0.6651813333333333,0.7409800000000001,0.6646026666666667,0.2111146666666667,0.631724,0.6115666666666667,0.5519666666666666,0.6330666666666667,0.5759,0.17436666666666667,0.4441333333333333,0.528,0.05713740922766717,0.051858444156996704,0.05458274158341255,0.017356984995345732,0.08426863652073545,0.03822799814075461,0.436,6420.696226222479,3843.0946616912365,7576.285102513564
5144,"['diff', 'game_time', 'elo', 'game_num']",knn39.0,0.7872666666666667,0.8265333333333333,0.7850333333333334,0.24330000000000004,0.7814666666666668,0.6843,0.6696,0.7382,0.6666,0.21296666666666667,0.6288333333333334,0.6129000000000001,0.667636,0.7390306666666667,0.6671786666666666,0.21150400000000003,0.6341866666666667,0.6123746666666666,0.5537333333333333,0.6329666666666667,0.5845666666666667,0.1764,0.4594333333333333,0.5336333333333334,0.056256802936296674,0.049730445437124925,0.05279372710798504,0.016739286387949734,0.08165401616521965,0.03680928360721744,0.436,5839.09977200803,3298.4256460864744,8105.266901022088
4691,"['diff', 'game_time', 'elo']",knn39.0,0.7767666666666666,0.8344666666666667,0.7739333333333334,0.2433,0.7749666666666667,0.6843,0.6713333333333334,0.7394,0.668,0.2126,0.6363333333333334,0.6143333333333333,0.6681253333333332,0.7398933333333332,0.6672626666666667,0.21108533333333332,0.6336493333333332,0.6114959999999999,0.5309,0.6348999999999999,0.5562333333333332,0.17516666666666666,0.4480666666666666,0.5294333333333334,0.05961586328503623,0.05025301248934196,0.055904761304063806,0.01674367529493122,0.08537062269763045,0.037010065259896786,0.433,5600.512131214482,5569.2808240301,9474.066811614817
9516,"['diff', 'color', 'time', 'game_time', 'elo', 'game_num']",knn38.0,0.7697333333333333,0.8341333333333334,0.7663666666666668,0.24243333333333336,0.7646000000000001,0.6843333333333333,0.6608333333333333,0.7342,0.6511333333333332,0.21189999999999998,0.6144999999999999,0.6135,0.6623013333333332,0.7419706666666666,0.6611506666666666,0.21085866666666667,0.616456,0.6108533333333334,0.5326666666666667,0.6304,0.5658333333333333,0.17423333333333332,0.4492,0.528,0.057456029181225256,0.050655877665280034,0.052740996396963946,0.017336320272944555,0.0820647460678025,0.03829888594227127,0.4053333333333334,7635.697757511824,4954.060784555604,12236.309511714386
8328,"['diff', 'color']",knn36.0,0.7504,0.8356,0.7456333333333333,0.2426,0.7491,0.6843666666666667,0.6783666666666667,0.7455999999999999,0.672,0.2045,0.6547999999999999,0.5969333333333333,0.6637786666666665,0.7382866666666666,0.6637613333333333,0.2060133333333333,0.6433066666666667,0.5996746666666667,0.5432,0.6207333333333334,0.5378666666666666,0.1695333333333333,0.4944,0.5133,0.05753049454530848,0.056783832435014364,0.05567294173061201,0.020218604299026593,0.06756140991780965,0.04627298806160018,0.46366666666666667,5035.530166400108,5874.718590020355,14455.195400605533
6660,"['diff', 'color', 'time', 'game_time', 'elo']",knn39.0,0.7820333333333332,0.8391666666666667,0.7795,0.243,0.7671333333333333,0.6843666666666667,0.6626,0.7385333333333334,0.6626,0.21143333333333333,0.6433333333333334,0.61,0.6658866666666666,0.7431773333333332,0.6656066666666667,0.21050133333333332,0.633092,0.6101853333333334,0.5449666666666667,0.6335666666666667,0.5675333333333333,0.1749333333333333,0.46526666666666666,0.5285666666666667,0.05719171433745348,0.04970669854238546,0.054244386600448426,0.01705362415921915,0.08129687464317427,0.037737120824494236,0.4363333333333333,5695.7328070235135,4115.854175661507,9181.619312986406
13382,"['diff', 'weekday', 'game_num']",lda0.0,0.7679333333333332,0.8367333333333334,0.7637333333333333,0.2452,0.7791333333333333,0.6844000000000001,0.6538333333333334,0.7273333333333333,0.6549,0.22376666666666667,0.6627,0.6408666666666666,0.6550906666666666,0.7287026666666666,0.6549546666666667,0.22067466666666666,0.6565773333333333,0.6329866666666666,0.5256,0.5965666666666667,0.5202333333333333,0.18446666666666667,0.49743333333333334,0.5455666666666666,0.0601756197543997,0.05650063306388709,0.05947275424102616,0.014886281026305556,0.07066729388952261,0.03460128815915459,0.5316666666666667,10257.839350733317,7722.362070560663,11767.814779631399
4561,"['diff', 'weekday']",knn33.0,0.7556666666666666,0.8287666666666667,0.7552666666666666,0.2427,0.7651666666666667,0.6844333333333333,0.6713333333333334,0.7472666666666666,0.6674000000000001,0.20373333333333332,0.6634666666666666,0.5946666666666666,0.668276,0.7395266666666668,0.6677906666666668,0.20564933333333335,0.6572946666666667,0.5994213333333334,0.5484666666666667,0.6273666666666666,0.5707999999999999,0.16923333333333335,0.5225666666666667,0.5123,0.052737929380704394,0.05480963134568911,0.050436534774942005,0.02048370988654313,0.060745035720355854,0.04700002171141984,0.48866666666666664,2912.627182087317,3190.0962961820765,12920.429434295816
4237,"['diff', 'time', 'weekday', 'game_num']",knn38.0,0.7574333333333333,0.8370666666666667,0.7569333333333333,0.2416,0.7554666666666666,0.6845,0.6731333333333334,0.7377666666666668,0.6732666666666667,0.20593333333333333,0.6587666666666666,0.6000666666666667,0.6686973333333333,0.7375973333333333,0.6682133333333334,0.206444,0.6529293333333334,0.6011253333333334,0.5695333333333333,0.6084666666666666,0.5654,0.1698666666666667,0.5050333333333333,0.5163666666666668,0.054273616207945685,0.058338550560594664,0.05326072616808921,0.02037200796943889,0.06458028669450973,0.04645658528919731,0.4756666666666667,3201.05829108109,3344.7040954789377,13721.136310527707
