,result,diff,elo,opp_elo,game_time,color,start_time,day,weekday
146,0.0,-35,737,772,600.0,0,-299.25,6,5
147,0.0,9,728,719,600.0,1,-207.77777777777774,6,5
148,0.0,48,718,670,600.0,0,-318.9444444444444,7,6
149,1.0,-8,727,735,600.0,0,-183.41666666666666,7,6
150,0.0,-41,720,761,600.0,0,-304.3888888888889,7,6
151,0.0,-12,712,724,600.0,1,-287.3611111111111,7,6
152,0.0,6,703,697,600.0,1,-123.22222222222221,7,6
153,0.0,102,692,590,600.0,1,-273.3611111111111,7,6
154,1.0,0,700,700,600.0,1,-91.66666666666667,8,0
155,0.0,24,691,667,600.0,0,-187.0,8,0
156,0.5,18,691,673,600.0,1,-217.9444444444444,8,0
157,1.0,124,696,572,600.0,0,-63.111111111111086,8,0
158,1.0,36,704,668,600.0,0,-267.05555555555554,8,0
159,0.5,-26,705,731,600.0,0,-220.7222222222222,8,0
160,0.0,-41,698,739,600.0,1,-330.4166666666667,8,0
161,0.0,-13,690,703,600.0,0,-266.6111111111111,8,0
162,0.0,81,680,599,600.0,1,-155.91666666666666,8,0
163,1.0,92,686,594,600.0,1,-215.0833333333333,8,0
164,0.0,-71,679,750,600.0,0,-193.05555555555551,8,0
165,1.0,39,686,647,600.0,1,-98.1111111111111,9,1
166,1.0,104,692,588,600.0,0,-60.77777777777777,9,1
167,1.0,-40,702,742,600.0,1,-322.16666666666663,9,1
168,0.0,-71,695,766,600.0,1,-156.05555555555554,9,1
169,0.0,-26,687,713,600.0,0,-18.305555555555543,9,1
170,1.0,-25,696,721,600.0,0,-285.25,9,1
171,1.0,-7,705,712,600.0,1,-321.05555555555554,9,1
172,0.0,-53,698,751,600.0,0,-150.58333333333331,9,1
173,1.0,-71,708,779,600.0,1,-293.55555555555554,9,1
174,1.0,-4,716,720,600.0,1,-327.86111111111114,9,1
175,1.0,65,723,658,600.0,0,-163.61111111111111,9,1
176,1.0,3,731,728,600.0,1,-113.22222222222221,9,1
177,0.0,-110,725,835,600.0,0,-180.0,9,1
178,0.0,-56,718,774,600.0,0,-266.72222222222223,9,1
179,1.0,63,725,662,600.0,1,-41.74999999999997,9,1
180,1.0,-59,735,794,600.0,1,-157.55555555555554,9,1
181,0.5,-15,735,750,600.0,0,-216.16666666666669,10,2
182,0.0,-8,727,735,600.0,1,-180.25,10,2
183,0.0,-99,721,820,600.0,0,-191.25,10,2
184,1.0,2,729,727,600.0,1,-201.2222222222222,10,2
185,1.0,2,737,735,600.0,0,-22.80555555555555,10,2
186,0.0,-41,730,771,600.0,0,-114.08333333333331,10,2
187,1.0,114,736,622,600.0,1,-230.27777777777777,10,2
188,1.0,52,743,691,600.0,1,-298.91666666666663,10,2
189,0.0,33,734,701,600.0,0,-326.38888888888886,10,2
190,0.0,-20,726,746,600.0,1,-201.77777777777777,10,2
191,1.0,-20,735,755,600.0,0,-56.05555555555554,10,2
192,0.0,5,726,721,600.0,0,-101.88888888888887,10,2
193,1.0,20,734,714,600.0,1,-332.69444444444446,10,2
194,1.0,-32,743,775,600.0,1,-194.61111111111106,10,2
195,0.0,-111,737,848,600.0,1,-155.58333333333331,10,2
196,0.0,-98,731,829,600.0,1,-116.63888888888887,11,3
197,1.0,49,738,689,600.0,0,-91.52777777777776,11,3
198,0.0,40,729,689,600.0,0,-268.19444444444446,11,3
199,1.0,30,737,707,600.0,1,-93.13888888888887,11,3
200,0.0,4,728,724,600.0,0,-230.16666666666666,12,4
201,1.0,19,736,717,600.0,1,-88.63888888888886,12,4
202,0.0,2,728,726,600.0,1,-287.77777777777777,12,4
203,0.0,-104,722,826,600.0,0,-322.0555555555556,12,4
204,0.0,-80,715,795,600.0,0,-14.194444444444434,12,4
205,1.0,16,723,707,600.0,0,-239.41666666666669,13,5
206,1.0,61,730,669,600.0,1,-100.80555555555553,13,5
207,1.0,88,736,648,600.0,1,-86.7222222222222,13,5
208,1.0,-77,746,823,600.0,0,-77.2222222222222,13,5
209,0.0,-99,740,839,600.0,1,-47.55555555555553,14,6
210,0.0,-103,734,837,600.0,0,-141.19444444444446,14,6
211,0.0,-50,727,777,600.0,0,-236.41666666666663,14,6
212,0.0,48,718,670,600.0,1,-296.80555555555554,15,0
213,0.0,-70,711,781,600.0,1,-96.49999999999997,15,0
214,1.0,7,719,712,600.0,0,-267.8333333333333,15,0
215,0.5,-48,720,768,600.0,0,-316.55555555555554,15,0
216,1.0,28,728,700,600.0,0,-186.74999999999997,15,0
217,0.0,-80,721,801,600.0,1,-151.55555555555557,15,0
218,1.0,80,727,647,600.0,0,-311.55555555555554,15,0
219,0.0,-53,720,773,600.0,1,-96.02777777777776,15,0
220,1.0,-111,731,842,600.0,1,-153.05555555555551,15,0
221,1.0,-31,740,771,600.0,0,-51.44444444444445,16,1
222,1.0,27,748,721,600.0,1,-312.66666666666663,16,1
223,0.0,-49,741,790,600.0,1,-136.33333333333334,16,1
224,0.0,-55,734,789,600.0,0,-136.77777777777777,16,1
225,0.0,35,725,690,600.0,0,-248.63888888888886,16,1
226,1.0,48,732,684,600.0,0,-289.9166666666667,16,1
227,0.0,-212,727,939,600.0,1,-294.44444444444446,16,1
228,1.0,47,734,687,600.0,1,-109.88888888888886,16,1
229,1.0,39,741,702,600.0,0,-163.47222222222223,16,1
230,0.5,45,740,695,600.0,1,-246.88888888888886,16,1
231,0.0,-32,732,764,600.0,0,-299.36111111111114,16,1
232,1.0,43,739,696,600.0,0,-282.66666666666663,16,1
233,0.0,-47,732,779,600.0,1,-134.36111111111111,17,2
234,1.0,38,739,701,600.0,1,-247.75000000000003,17,2
235,1.0,48,746,698,600.0,1,-237.08333333333331,17,2
236,0.0,-27,738,765,600.0,0,-293.77777777777777,17,2
237,0.0,-65,731,796,600.0,0,-230.30555555555554,17,2
238,0.5,-104,733,837,600.0,1,-299.02777777777777,17,2
239,0.0,-138,728,866,180.0,0,-71.97222222222221,18,3
240,1.0,160,733,573,300.0,0,-49.91666666666665,18,3
241,0.0,-72,726,798,600.0,1,-249.91666666666669,18,3
242,1.0,45,733,688,600.0,1,-244.08333333333334,18,3
243,1.0,-4,741,745,600.0,0,-56.61111111111111,19,4
244,1.0,105,747,642,600.0,1,-162.88888888888889,19,4
245,0.0,-21,739,760,600.0,0,-197.1111111111111,19,4
246,0.0,22,730,708,600.0,0,-261.25,19,4
247,1.0,62,737,675,600.0,0,-30.444444444444443,19,4
248,1.0,35,745,710,600.0,1,-216.25,19,4
249,1.0,-72,755,827,600.0,1,-101.49999999999997,19,4
250,0.5,-46,756,802,600.0,0,-320.3333333333333,19,4
251,1.0,-41,765,806,300.0,1,-152.13888888888889,19,4
252,0.0,-25,757,782,300.0,0,-85.24999999999997,19,4
253,1.0,-28,766,794,300.0,1,-127.02777777777776,19,4
254,0.0,-26,758,784,600.0,0,-206.7222222222222,19,4
255,0.0,-46,751,797,600.0,1,-332.75,19,4
256,1.0,56,758,702,600.0,1,-161.24999999999997,19,4
257,0.0,-46,751,797,600.0,0,-117.91666666666664,19,4
258,1.0,-8,760,768,600.0,0,-195.25,20,5
259,1.0,30,768,738,600.0,0,-179.8611111111111,20,5
260,1.0,52,775,723,600.0,1,-236.5,20,5
261,0.0,-31,767,798,600.0,1,-256.33333333333337,21,6
262,1.0,31,775,744,600.0,1,-193.52777777777777,21,6
263,1.0,34,783,749,600.0,0,-272.02777777777777,21,6
264,1.0,159,790,631,600.0,1,-231.8333333333333,21,6
265,1.0,13,798,785,600.0,0,-180.24999999999997,21,6
266,0.0,-21,790,811,300.0,1,-139.97222222222217,21,6
267,1.0,50,797,747,300.0,1,-60.1111111111111,21,6
268,0.0,6,788,782,300.0,0,-134.9722222222222,22,0
269,1.0,-8,797,805,600.0,0,-228.5,22,0
270,0.0,27,788,761,600.0,0,-143.55555555555554,22,0
