,001a,001b,002a,002b,003a,003b,004a,004b,005a,005b,006a,006b,007a,007b,008a,008b,009a,009b,010a,010b,011a,011b,012a,012b,013a,013b,014a,014b,015a,015b,016a,016b,017a,017b,018a,018b,019a,019b,020a,020b,021a,021b,022a,022b,023a,023b,024a,024b,025a,025b,026a,026b,027a,027b,028a,028b,029a,029b,030a,030b,031a,031b,032a,032b,033a,033b,034a,034b,035a,035b,036a,036b,037a,037b,038a,038b,039a,039b,040a,040b,041a,041b,042a,042b,043a,043b,044a,044b,045a,045b,046a,046b,047a,047b,048a,048b,049a,049b,050a,050b,051a,051b,052a,052b,053a,053b,054a,054b,055a,055b,056a,056b,057a,057b,058a,058b,059a,059b,060a,060b,061a,061b,062a,062b,063a,063b,064a,064b,065a,065b,066a,066b,067a,067b,068a,068b,069a,069b,070a,070b,071a,071b,072a,072b,073a,073b,074a,074b,075a,075b,076a,076b,077a,077b,078a,078b,079a,079b,080a,080b,081a,081b,082a,082b,083a,083b,084a,084b,085a,085b,086a,086b,087a,087b,088a,088b,089a,089b,090a,090b,091a,091b,092a,092b,093a,093b,094a,094b,095a,095b,096a,096b,097a,097b,098a,098b,099a,099b,100a,100b,101a,101b,102a,102b,103a,103b,104a,104b,105a,105b,106a,106b,107a,107b,108a,108b,109a,109b,110a,110b,111a,111b,112a,112b,113a,113b,114a,114b,115a,115b,116a,116b,117a,117b,118a,118b,119a,119b,120a,120b,121a,121b,122a,122b,123a,123b,124a,124b,125a,125b,126a,126b,127a,127b,128a,128b,129a,129b,130a,130b,131a,131b,132a,132b,133a,133b,134a,134b,135a,135b,136a,136b,137a,137b,138a,138b,139a,139b,140a,140b,141a,141b,142a,142b,143a,143b,144a,144b,145a,145b,146a,146b,147a,147b,148a,148b,149a,149b,150a
912,d4,d5,Nf3,b6,Bf4,Nc6,Nc3,Nf6,Bg5,Nh5,g4,Nf6,h3,h6,Bxf6,exf6,Qd2,Bb4,O-O-O,Na5,a3,Nc4,Qe1,Be7,e4,Be6,Bxc4,dxc4,d5,Bd7,a4,O-O,Nd2,a5,Nxc4,Bb4,e5,Bxc3,Qxc3,Bxa4,e6,fxe6,dxe6,Qe7,Rhe1,Bb5,Nxb6,cxb6,f4,Ba6,Rd7,Qe8,Qd4,Rf7,exf7+,Qxf7,Rxf7,Kxf7,h4,Bc8,g5,hxg5,hxg5,fxg5,fxg5,Kg6,Qe4+,Kxg5,Qxa8,Bg4,Qd5+,Bf5,Rg1+,Kf4,Rf1+,Kg4,Qxf5+,Kg3,Qf3+,Kh2,Re1,g5,Re2+,Kg1,Qg3+,Kf1,Qf3+,Kg1,Kd1,g4,Qxg4+,Kf1,Qf3+,Kg1,Ke1,b5,Qf1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,e4,d5,e5,e6,d4,Nc6,Nf3,Nge7,Nc3,Nf5,Bb5,Bd7,O-O,Bb4,Bd2,Bxc3,Bxc3,O-O,Bd3,g6,a4,a5,b3,Nb4,Rb1,Qe7,Qe1,Rfc8,Bxb4,axb4,Qd2,b6,g3,c5,dxc5,bxc5,Ra1,Nd4,Nxd4,cxd4,a5,f6,exf6,Qxf6,a6,g5,a7,h6,Ba6,Rc7,Be2,Rcxa7,Rxa7,Rxa7,Qxb4,e5,Qb8+,Kg7,Qxa7,Qf5,c4,d3,Bd1,d2,b4,dxc4,Ba4,Kf6,Bxd7,Qd3,Qa1,c3,Ba4,c2,Bxc2,Qxc2,b5,Qc5,Qd1,Qd5,b6,e4,Qb1,Qd3,Qxd3,exd3,Rd1,Ke6,Rxd2,Kd6,Rxd3+,Kc6,Rb3,Kb7,Rb1,g4,f4,h5,f5,Kc6,f6,Kd6,b7,Ke6,b8,Kxf6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,e4,e5,Nf3,Nc6,Nc3,Bc5,d3,b6,Be3,Bb4,Bd2,Bb7,Nd5,Nf6,Nxb4,Nxb4,Bxb4,Ng4,h3,Nh6,Be2,c5,Bc3,d6,Bd2,Ng8,Bg5,Qd7,Qd2,Ne7,O-O-O,O-O,Bxe7,Qxe7,Kb1,Qf6,g4,d5,h4,Qe6,g5,dxe4,dxe4,Bxe4,Rhg1,Qh3,Rg3,Qf5,Nh2,b5,f3,Bd5,Qxd5,Rac8,Bxb5,Rcd8,Ng4,Rxd5,Rxd5,Qe6,Bc4,e4,Rxc5,exf3,Rxf3,Qe1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,e4,e5,Nf3,Nc6,Nc3,Nf6,Bc4,Be7,d3,O-O,O-O,d6,Be3,h6,d4,Ng4,d5,Nb4,a3,Nxe3,fxe3,Na6,Bxa6,bxa6,b4,Bb7,Ne1,c6,Nd3,Bg5,Qe2,cxd5,exd5,Rc8,Qd2,Re8,h4,Bxh4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,Nf3,d5,g3,Bg4,Bg2,Bxf3,Bxf3,d4,O-O,e5,Be4,Nf6,d3,g6,f3,c6,a3,Na6,Nd2,Nc5,b4,Na4,b5,Nc3,Qe1,Nxb5,Nb3,Nxa3,Bxa3,Bxa3,Rxa3,O-O,Nc5,Rb8,Rxa7,Qb6,Ra1,Qxc5,Rc1,Nxe4,fxe4,Ra8,Qf2,b5,c3,b4,cxd4,Qxd4,Rxc6,Qxf2+,Rxf2,b3,Rf1,Rab8,Rb1,Rfe8,Kf2,b2,Ke3,f6,Rxf6,g5,Rh6,Kg7,Rh5,Kg6,g4,h6,Rh3,Rf8,Rf3,Rxf3+,Kxf3,Rb5,Ke3,Rb4,Kd2,h5,gxh5+,Kxh5,Kc3,Rb8,Rxb2,Rxb2,Kxb2,Kh4,Kc1,g4,Kd1,Kh3,Ke1,Kxh2,Kf1,g3,d4,exd4,e5,g2+,Kf2,g1,Kf3,Qg6,Kf4,Qb6,Ke4,Kg2,Kf5,Kf2,e6,Qd8,Kg6,Qe8+,Kf6,Kxe2,e7,d3,Ke6,d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,e4,c5,e5,e6,f4,d6,Nf3,dxe5,fxe5,Nd7,Nc3,Qc7,Qe2,g6,b3,Bg7,Ba3,Bxe5,Nxe5,Nxe5,Nb5,Qb8,Bb2,a6,Bxe5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,e4,e5,Nf3,Nc6,d3,Nf6,Nc3,Bb4,Bd2,O-O,a3,Bxc3,Bxc3,d5,Bxe5,Nxe5,Nxe5,Qe7,Nf3,dxe4,dxe4,Qxe4+,Be2,Bg4,O-O,Rad8,Bd3,Bxf3,Bxe4,Bxd1,Raxd1,Rxd1,Rxd1,Nxe4,f3,Nd6,g4,Re8,a4,g5,b3,a5,h3,Re2,Rc1,b5,c4,bxa4,bxa4,Ra2,c5,Nb7,c6,Nd6,Re1,Rxa4,Re7,Nb5,Re8+,Kg7,Rb8,Nd6,Rb7,Nxb7,cxb7,Rb4,Kf2,Rxb7,Ke3,Kg6,Kd4,a4,Kc3,a3,Kc4,a2,Kc5,a1,Kc6,Qa6+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,e4,e6,e5,Nc6,f4,f5,d4,Bb4+,Bd2,Qh4+,g3,Qe7,a3,Nxd4,axb4,d5,c3,Nc6,Bb5,Bd7,Nf3,O-O-O,Nd4,a6,Bxc6,Bxc6,O-O,Bd7,Na3,Qe8,Nac2,Ba4,b3,Bb5,Nxb5,Qxb5,c4,Qe8,b5,dxc4,bxa6,cxb3,a7,Kd7,Bc3+,Ke7,Bb4+,Kf7,Qh5+,g6,Qf3,bxc2,Rac1,Rd2,Bxd2,Qa4,Be3,Ne7,Qxb7,Nd5,Rfe1,Kg7,Re2,Nb4,Qxc7+,Kh6,Rcxc2,Nxc2,Rxc2,Qa1+,Kg2,Qa3,Qc5,Qd3,Rd2,Qe4+,Kf2,Ra8,Rd7,Qb1,Rf7,Qa2+,Kg1,Rd8,Bf2,Rd1+,Kg2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,e4,e5,Qh5,Nc6,Bc4,Qe7,c3,Nf6,Qf3,d6,Ne2,Be6,b3,Bxc4,bxc4,g6,O-O,Bh6,g4,Qe6,g5,Bxg5,Ng3,Qxc4,Na3,Qe6,Nb5,O-O,Nxc7,Qc8,Nxa8,Qxa8,d3,Qc8,Bxg5,Ng4,h3,Nxf2,Kxf2,Qxh3,Rh1,Qe6,Rh6,f6,Be3,f5,exf5,gxf5,Rxe6,f4,Qg4+,Kf7,Qf5+,Kg7,Nh5+,Kg8,Rg1+,Kh8,Qxf8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,e4,e5,Nf3,Nc6,Nc3,Nf6,Bd3,d6,O-O,Bg4,b3,Be7,Ba3,O-O,h3,Bxf3,Qxf3,Nd4,Qe3,Nxc2,Bxc2,Nh5,Nb5,a6,Na7,Nf4,Bb4,c5,Bc3,Rxa7,a4,g6,b4,Bg5,bxc5,dxc5,Qxc5,Ra8,Bxe5,Ne2+,Kh1,Be7,Qc4,Qxd2,Rad1,Qg5,Qxe2,Qxe5,Rd5,Qc3,Rb1,Rad8,Rxb7,Rxd5,exd5,Qa3,Rxe7,Qa1+,Kh2,Qa2,d6,Qd5,d7,Rd8,Be4,Qd6+,g3,Qxe7,Qd3,Rxd7,Qxa6,Qxe4,Qc8+,Kg7,Qxd7,Qf3,Qd4+,Kg8,a5,f5,a6,g5,a7,g4,Qd8+,Kf7,Qd7+,Kf6,Qd8+,Ke5,Qc7+,Kd4,Qd7+,Ke5,Qe8+,Kd4,a8,Qxf2+,Kh1,Qf3+,Kh2,Qf2+,Qg2,Qxg2+,Kxg2,h5,Qe5+,Kxe5,h4,f4,gxf4+,Kxf4,Kh2,g3+,Kg2,Kg4,Kg1,Kxh4,Kg2,Kg4,Kg1,h4,Kg2,h3+,Kh1,g2+,Kh2,Kf3,Kg1,h2+,Kxh2,Kf2,Kh3,g1,Kh4,Qg3+,Kh5,Kf3,Kh6,Kf4,Kh7,Kf5,Kh6,Qg5+,Kh7,Kf6,Kh8,Qg7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,e4,e5,Nf3,Nf6,Nc3,Nc6,d3,Bc5,Bg5,h6,Bxf6,gxf6,Be2,d6,O-O,Be6,b3,a6,Qd2,Qe7,a3,O-O-O,b4,Bd4,Rab1,Rhg8,g3,f5,b5,axb5,Nxb5,fxe4,dxe4,Rg6,Nfxd4,exd4,c3,dxc3,Qxc3,d5,exd5,Bxd5,Rfd1,Qe6,Bf3,Bxf3,Rxd8+,Nxd8,Qxf3,Qc6,Qf5+,Ne6,Na7+,Kb8,Nxc6+,Kc8,Ne7+,Kd8,Nxg6,Ke8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,e3,e5,d4,e4,f3,f5,g3,g5,g4,f4,fxe4,fxe3,Bxe3,h6,Bh3,d6,c3,Nc6,Na3,Nf6,Qf3,Be6,d5,Ne5,Qe2,Bd7,Nc4,c6,Nxe5,dxe5,dxc6,bxc6,O-O-O,Qc7,Nf3,O-O-O,Qa6+,Qb7,Qd3,c5,Nxe5,Be6,Qe2,Rxd1+,Rxd1,Be7,Ng6,Rd8,Nxe7+,Qxe7,Qa6+,Qb7,Qxe6+,Nd7,Bxc5,Qb5,Bxa7,Kb7,Bf1,Qc6,Qb3+,Kxa7,Qa3+,Kb6,b4,Qxe4,Qa5+,Kc6,Qxd8,Qf4+,Kb2,Nb6,b5+,Kc5,a4,Qf2+,Kb3,Qf3,Qd4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,e4,d5,e5,Nc6,d4,f6,Nf3,fxe5,dxe5,Bf5,Bd3,e6,Bxf5,exf5,O-O,g6,Re1,Bg7,Ng5,Nxe5,Ne6,Qe7,Nxg7+,Qxg7,Bf4,Ne7,Bxe5,Qf7,Bxh8,O-O-O,Bd4,Nc6,Nc3,h5,Nb5,Kb8,b3,a6,Na3,g5,c4,dxc4,bxc4,g4,Qd2,Nxd4,Qg5,Kc8,Red1,Ne6,Rxd8+,Nxd8,Rd1,Nc6,c5,Kb8,Nc2,Qe6,Nd4,Nxd4,Rxd4,Qxa2,Rd1,Qc2,Rc1,Qxc5,Qxh5,Qa3,Qe8+,Ka7,Rd1,Qc3,Qg6,Qc2,Qg5,Qxd1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,e4,e5,Nf3,Nc6,Nc3,Nf6,Bc4,d6,d4,Bg4,dxe5,dxe5,Bg5,Bxf3,Qxf3,Be7,Bxf6,Bxf6,Qg4,g6,Rd1,Qe7,Nd5,Qe6,Nxf6+,Qxf6,Qd7+,Kf8,Qxc7,Qf4,g3,Qxe4+,Kf1,Qxh1+,Ke2,Qe4+,Kf1,Qxc4+,Kg1,Kg7,Qxb7,Rad8,Re1,e4,b3,Qxc2,Rxe4,Qxe4,f3,Qe1+,Kg2,Qe2+,Kh3,Qxf3,Qb6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,e4,e5,Nf3,Nc6,Nc3,Nf6,d3,d5,Bg5,dxe4,dxe4,Nd4,Nxe5,Be6,Bb5+,c6,Bd3,h6,Bxf6,gxf6,Nc4,b5,Ne3,b4,Ne2,c5,Nxd4,cxd4,Nc4,Rc8,Nd2,Rg8,O-O,Bd6,g3,h5,Nf3,a5,Nxd4,h4,Bb5+,Bd7,Bxd7+,Qxd7,Nf5,Qe6,Qf3,hxg3,fxg3,Rxc2,Rad1,Bc5+,Kh1,Rxb2,Nh6,Rg6,Qf4,Qh3,Nf5,Qxh2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,c4,e5,e3,e4,g3,Nf6,Bg2,c6,Ne2,d5,Nd4,Bg4,Bf3,Bxf3,Nxf3,Bb4,Ne5,O-O,a3,Bd6,Ng4,Qc8,f3,Na6,Nxf6+,gxf6,f4,Nc5,O-O,f5,Qh5,Qd8,Qg5+,Qxg5,fxg5,Nd3,b4,b5,c5,Be5,Nc3,d4,Rxf5,dxc3,Ra2,Nxc1,Rc2,Ne2+,Kf2,cxd2,Rxd2,Nc3,Rxe5,a5,Rd6,axb4,Rxc6,bxa3,Ke1,a2,Kd2,a1,Kc2,Ra2+,Kb3,Qb2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,e4,e5,Nf3,f6,Nc3,c6,d4,d5,dxe5,dxe4,Nxe4,Qxd1+,Kxd1,Bf5,Nc3,Bb4,Bd2,Bxc3,Bxc3,b5,b4,fxe5,Nxe5,Ne7,f3,O-O,Be2,a5,Ke1,c5,a3,axb4,axb4,Rxa1+,Bxa1,cxb4,Bxb5,Bxc2,Bc4+,Kh8,Kf2,b3,Nf7+,Kg8,Ng5+,Kh8,Ne6,Rf6,Bxf6,gxf6,Nd8,Nbc6,Nf7+,Kg7,Ke3,b2,Bd3,b1,Rxb1,Bxb1,Bxb1,Nd5+,Kf2,Kxf7,Bxh7,Nf4,Be4,Nd4,Ke3,f5,Bb7,Nde6,g4,Ng2+,Kf2,Nef4,gxf5,Kf6,Be4,Nh4,Kg3,Nfg2,Kg4,Nxf5,f4,Nge3+,Kf3,Kg6,Bxf5+,Nxf5,Kg4,Ne3+,Kg3,Nf1+,Kh3,Kf5,Kg2,Ne3+,Kf3,Nd5,h4,Nxf4,Kg3,Nh5+,Kh3,Kf4,Kg2,Kg4,Kf2,Kxh4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,d4,d5,Nc3,Nf6,Bf4,Nc6,a3,e6,Nb5,Bd6,Bxd6,cxd6,b4,e5,e3,Bg4,f3,Bd7,dxe5,dxe5,e4,d4,Bc4,a6,Nd6+,Kf8,Nxf7,Qe7,Nxh8,g6,h4,Kg7,Nf7,Be6,Bxe6,Qxe6,Nxe5,Nxe5,Qxd4,Nh5,g4,Ng3,Rh3,Nxe4,f4,Rc8,Qxe5+,Qxe5,fxe5,Rxc2,Kd1,Rg2,Ne2,Nf2+,Kd2,Nxh3,Rc1,Nf4,e6,Nxe6,Re1,Nf4,Ke3,Nd5+,Ke4,Nf6+,Ke5,Rxg4,Nd4,Rxh4,Ne6+,Kf7,Rf1,Rh5+,Kd6,Rd5+,Kc7,Kxe6,Kxb7,Rd6,a4,Kd7,b5,a5,b6,h5,Ka6,Kc6,Rb1,Rd8,b7,Kc7,Ka7,Rb8,Rc1+,Kd6,Kxb8,Nd7+,Ka7,h4,Rd1+,Kc6,Rxd7,h3,b8,Kxd7,Qb6,h2,Qb7+,Kd6,Qb6+,Kd5,Qxa5+,Kd4,Qb4+,Kd3,Qb3+,Kd2,Qb2+,Kd3,Qb3+,Kd2,Qd5+,Ke2,Qe6+,Kf2,Qa2+,Kf1,Qxh2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,e4,e6,e5,Qg5,d4,Nc6,Bxg5,f6,exf6,gxf6,Bf4,Bh6,Bxh6,Nxh6,Bb5,Ne7,Nf3,c6,Bd3,d5,O-O,b6,Nc3,e5,dxe5,Bg4,h3,Bxf3,Qxf3,fxe5,Qh5+,Nf7,Rfe1,e4,Bxe4,dxe4,Rxe4,Rd8,Rf4,Rf8,Ne4,Rd5,Nf6+,Kd8,Nxd5,Nxd5,Rxf7,Ke8,Rxf8+,Kxf8,Qh6+,Ke7,Qxh7+,Kd8,Rd1,Kc8,g4,Nf6,Qf7,Ne4,Qd7+,Kb8,Qd8+,Kb7,Rd7+,Ka6,Qc8+,Ka5,Rxa7+,Kb5,Qf5+,c5,Qxe4,c4,b3,Kb4,Qe7+,Kc3,Qe2,b5,Qd3+,Kb4,Qd6+,Kc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,e4,e5,Qh5,Nc6,Bc4,Qe7,c3,Nf6,Qf3,d6,d3,Be6,Na3,Bxc4,Nxc4,O-O-O,Bg5,Kb8,Nh3,h6,Bxf6,gxf6,O-O,h5,a4,b6,a5,Rd7,axb6,cxb6,g3,Qe6,b3,Qxh3,d4,Qe6,d5,Qg4,Qxg4,hxg4,dxc6,Rc7,Ne3,Rxc6,c4,Rh5,Nxg4,f5,Nf6,Bg7,Nxh5,fxe4,Nxg7,e3,fxe3,e4,Rxf7,Rc8,Raxa7,Rd8,Ne6,Re8,Nc7,Rc8,Na6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,e4,e5,Nf3,Nc6,Bc4,Nf6,Nc3,d6,Ng5,Be6,Bb5,a6,Bd3,Bg4,Nf3,Be7,Bc4,Be6,d3,Bxc4,dxc4,O-O,Qd3,Nb4,Qe2,c6,Nh4,g6,Be3,b5,O-O,c5,Nf3,bxc4,Rac1,Ng4,Ng5,Bxg5,Qxg4,Bxe3,fxe3,Qe7,a3,Nc6,Nd5,Qd8,Nf6+,Kh8,Qh4,h5,Qg5,Nb8,Qh6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
