,date,result,white_elo,black_elo,game_time,end_time,num_moves,color,won_by,weekday,day,castled_on,opp_castled_on,castled,opp_castled,time_used,opp_time_used,start_time,opp_num_moves,avg_time,opp_avg_time,white_max_move,black_max_move,max_move,opp_max_move,post_elo,opp_post_elo,elo_delta,elo,opp_elo,diff
504,2017-07-15,1.0,933,910,600,11228.611111111111,43,1,8,5,15,0,0,-1,-1,430,440,10986.944444444445,42,10.0,10.476190476190476,38.10000000000002,63.30000000000001,38.10000000000002,63.30000000000001,933,910,8.0,925.0,902.0,23
505,2017-07-15,0.0,926,1004,600,13004.722222222223,35,1,8,5,15,8,6,1,1,360,300,12821.388888888889,35,10.285714285714286,8.571428571428571,60.10000000000002,40.10000000000002,60.10000000000002,40.10000000000002,926,1004,-7.0,933.0,1011.0,-78
506,2017-07-15,0.0,918,918,600,17597.777777777777,36,1,7,5,15,16,21,1,1,520,350,17356.11111111111,36,14.444444444444445,9.722222222222221,72.20000000000005,28.5,72.20000000000005,28.5,918,918,-8.0,926.0,926.0,0
507,2017-07-16,1.0,869,925,600,90.55555555555556,61,0,7,6,16,0,14,-1,0,390,430,-137.22222222222223,61,6.39344262295082,7.049180327868853,20.600000000000023,65.19999999999999,65.19999999999999,20.600000000000023,925,869,7.0,918.0,862.0,56
508,2017-07-16,0.0,917,949,600,8699.444444444445,27,1,8,6,16,12,0,1,-1,350,210,8543.88888888889,27,12.962962962962964,7.777777777777778,43.80000000000001,17.5,43.80000000000001,17.5,917,949,-8.0,925.0,957.0,-32
509,2017-07-16,1.0,939,926,600,19230.555555555555,27,0,8,6,16,22,0,0,-1,340,300,19052.777777777777,27,12.592592592592593,11.11111111111111,34.30000000000001,50.30000000000001,50.30000000000001,34.30000000000001,926,939,9.0,917.0,930.0,-13
510,2017-07-16,0.0,859,916,600,20805.277777777777,61,0,6,6,16,8,9,1,0,600,590,20474.722222222223,62,9.836065573770492,9.516129032258064,45.5,37.599999999999966,37.599999999999966,45.5,916,859,-10.0,926.0,869.0,57
511,2017-07-17,0.0,915,908,600,8680.833333333334,65,0,8,0,17,0,0,-1,-1,490,520,8400.27777777778,66,7.538461538461538,7.878787878787879,110.39999999999998,35.0,35.0,110.39999999999998,908,915,-8.0,916.0,923.0,-7
512,2017-07-17,0.5,908,901,300,9773.055555555555,67,1,5,0,17,12,16,0,0,300,300,9606.388888888889,67,4.477611940298507,4.477611940298507,33.400000000000006,37.79999999999998,33.400000000000006,37.79999999999998,908,901,0.0,908.0,901.0,7
513,2017-07-17,1.0,876,915,300,15758.888888888889,8,0,7,0,17,0,0,-1,-1,30,20,15745.0,8,3.75,2.5,8.099999999999966,13.100000000000023,13.100000000000023,8.099999999999966,915,876,7.0,908.0,869.0,39
