,date,day,weekday,start_time,game_time,color,elo,opp_elo,diff,result,won_by,num_moves,opp_num_moves,avg_time,opp_avg_time,castled_on,opp_castled_on,castled,opp_castled,time_used,opp_time_used,max_move,opp_max_move
1470,2018-05-13,13,6,22603.055555555555,600,0,870.0,813.0,57,1.0,7,18,18,7.777777777777778,5.0,11,10,0,0,140,90,29.099999999999966,21.100000000000023
1471,2018-05-13,13,6,22760.833333333332,600,1,877.0,878.0,-1,1.0,8,81,80,7.407407407407407,7.25,11,0,1,-1,600,580,49.400000000000034,42.0
1472,2018-05-14,14,0,7821.111111111111,300,0,885.0,909.0,-24,0.0,8,27,28,7.407407407407407,5.0,0,6,-1,1,200,140,34.599999999999994,15.400000000000006
1473,2018-05-14,14,0,7952.222222222222,300,1,877.0,891.0,-14,0.0,8,32,32,6.5625,7.1875,10,15,1,1,210,230,14.099999999999994,40.60000000000002
1474,2018-05-14,14,0,8175.0,300,0,869.0,854.0,15,0.0,8,56,57,4.285714285714286,5.2631578947368425,8,12,1,1,240,300,25.399999999999977,34.80000000000001
1475,2018-05-14,14,0,10542.777777777777,180,1,860.0,764.0,96,1.0,8,31,30,4.516129032258065,3.6666666666666665,16,0,1,-1,140,110,14.700000000000003,16.200000000000003
1476,2018-05-14,14,0,10626.111111111111,180,1,866.0,868.0,-2,1.0,6,39,38,4.358974358974359,4.7368421052631575,0,0,-1,-1,170,180,19.599999999999994,33.0
1477,2018-05-14,14,0,13609.722222222223,300,1,874.0,956.0,-82,1.0,6,35,34,7.142857142857143,8.823529411764707,9,0,1,-1,250,300,27.299999999999983,22.700000000000017
1478,2018-05-14,14,0,15626.944444444443,600,1,884.0,915.0,-31,0.0,8,28,28,9.642857142857142,7.5,8,0,0,-1,270,210,99.60000000000002,21.30000000000001
1479,2018-05-15,15,1,8958.61111111111,600,0,876.0,881.0,-5,0.0,8,42,43,6.904761904761905,5.348837209302325,9,18,1,1,290,230,37.599999999999966,29.200000000000045
1480,2018-05-15,15,1,11451.111111111111,600,0,868.0,879.0,-11,1.0,8,19,19,11.052631578947368,15.263157894736842,11,0,1,-1,210,290,48.60000000000002,32.5
1481,2018-05-15,15,1,13971.944444444445,180,0,877.0,880.0,-3,1.0,7,1,1,0.0,0.0,0,0,-1,-1,0,0,0.09999999999999432,0.09999999999999432
1482,2018-05-15,15,1,13978.333333333334,180,1,885.0,757.0,128,1.0,6,33,32,2.727272727272727,5.625,21,0,1,-1,90,180,13.599999999999994,13.0
1483,2018-05-15,15,1,19293.88888888889,600,0,890.0,852.0,38,1.0,8,46,46,5.217391304347826,6.956521739130435,10,0,0,-1,240,320,23.399999999999977,56.60000000000002
1484,2018-05-15,15,1,19866.944444444445,600,0,897.0,949.0,-52,0.0,8,42,43,12.142857142857142,9.30232558139535,23,0,1,-1,510,400,44.80000000000001,38.599999999999966
1485,2018-05-16,16,2,7817.5,300,1,890.0,846.0,44,0.5,1,72,71,4.166666666666667,3.5211267605633805,11,10,0,0,300,250,24.69999999999999,27.30000000000001
1486,2018-05-16,16,2,9505.833333333334,600,1,889.0,826.0,63,1.0,6,53,52,10.943396226415095,11.538461538461538,9,16,1,0,580,600,64.90000000000003,70.90000000000003
1487,2018-05-16,16,2,11468.333333333334,300,1,896.0,909.0,-13,0.0,8,35,35,8.0,6.285714285714286,8,10,0,0,280,220,37.900000000000006,48.599999999999994
1488,2018-05-16,16,2,12543.888888888889,180,0,888.0,939.0,-51,0.0,8,21,22,1.9047619047619047,3.6363636363636362,12,0,0,-1,40,80,5.899999999999977,11.300000000000011
1489,2018-05-16,16,2,13945.555555555557,300,1,881.0,894.0,-13,0.0,6,66,66,4.545454545454546,3.1818181818181817,12,17,0,1,300,210,22.30000000000001,15.5
1490,2018-05-16,16,2,16026.666666666668,600,1,873.0,901.0,-28,0.0,8,36,36,5.833333333333333,4.722222222222222,8,8,0,0,210,170,38.0,16.5
1491,2018-05-16,16,2,16138.611111111111,300,0,865.0,838.0,27,1.0,8,35,35,5.142857142857143,5.714285714285714,10,6,0,1,180,200,18.600000000000023,27.599999999999994
1492,2018-05-16,16,2,17451.111111111113,180,0,873.0,913.0,-40,0.0,8,15,16,5.333333333333333,2.5,10,6,0,1,80,40,28.200000000000003,9.800000000000011
1493,2018-05-16,16,2,17493.055555555555,180,0,866.0,950.0,-84,0.0,6,47,48,3.8297872340425534,3.125,20,7,0,1,180,150,16.299999999999983,11.700000000000003
1494,2018-05-17,17,3,7653.333333333333,300,1,860.0,824.0,36,1.0,7,31,30,7.741935483870968,7.0,15,13,1,1,240,210,31.599999999999994,23.30000000000001
